row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
165420,2025-04-30 16:16:20,20MICRONS.NS,384.0,,,,,,86400.0,2.0,222.39,209.01,222.9,1.25,0.56,1990-01-01,0.0725,,0.729,113863.0,113863.0,120262.0,,,,,244.07645,0.0,0.0,9013344256.0,14561053.0,35286500.0,0.53946,0.00016000001,35435900.0,108.718,1.9363859,0.123,17.24,,0.29484713,1.25,1990-01-01,NSI,EQUITY,165704992.0,4.693,1086779264.0,1313862016.0,148538.0,148538.0,7428514304.0,151.85,348.0,0.82744455,196.141,,,8977657856.0,34.138,254.418,0.123,0.227,0.46838,0.12104999,0.100209996,0.067719996,222.39,222.39,209.01,222.9,222.39,12.211138,,20MICRONS.NS,20 MICRONS LTD,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,210.52,,,,,,none,,-5.34,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,5.0,1.0
165421,2025-04-30 16:16:20,21STCENMGM.NS,10.0,,,,,,86400.0,2.0,73.9,73.42,76.3,2.5,3.34,1990-01-01,0.066,,0.468,3006.0,3006.0,4718.0,,,,,92.34395,0.0,0.0,699991808.0,3016015.0,10500000.0,0.6443,0.0,10554700.0,90.796,0.80862594,,37.86,,0.45053244,2.5,1990-01-01,NSI,EQUITY,86393000.0,8.231,458822496.0,0.0,4560.0,4560.0,774926080.0,42.7,141.4,0.55896616,69.9222,,,1386355968.0,,132.002,,,0.35009,0.33096,1.2655799,0.28679,74.92,73.9,73.42,76.3,74.92,1.9392498,,21STCENMGM.NS,21ST CENTURY MGMT SERVICE,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,73.42,,,,,,none,,-2.0,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,No strong momentum,3.0,3.0
165422,2025-04-30 16:16:20,360ONE.NS,,,,,,,86400.0,2.0,975.05,975.05,1019.95,12.0,1.22,1990-01-01,0.2301,3.47,0.336,2937840.0,2937840.0,1222952.0,0.083179995,0.19312,11827112960.0,-24108699648.0,1051.3848,6.0,0.0061034537,485277532160.0,231228188.0,393697984.0,0.18042,0.63818,412537984.0,180.591,5.460128,0.03,26.05,31.77,0.2538103,6.0,1990-01-01,NSI,EQUITY,10915800064.0,27.902,23920001024.0,111601999872.0,1926999.0,1926999.0,388205903872.0,691.4,1318.0,10.536504,937.467,0.515,2.764,36843900928.0,157.962,98.487,-0.052,-0.119,0.73637,0.64922994,0.58856,0.27557,983.05,975.05,975.05,1019.95,983.05,37.852207,31.037142,360ONE.NS,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,986.05,1340.0,1090.0,1185.8,1161.5,1.7,buy,10.0,0.31,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Highly Profitable with margins > 20%,Hold,No strong momentum,9.0,5.0
165423,2025-04-30 16:16:20,3IINFOLTD.NS,5600.0,,,,,,86400.0,2.0,23.54,22.81,23.78,,,1990-01-01,0.0,3.81,0.612,422876.0,422876.0,844241.0,,,,,28.76725,0.0,0.0,4308416512.0,149083539.0,169627008.0,0.14615,0.0060900003,170127008.0,16.263,1.4222467,,-805.18,,-0.3897304,15.0,1990-01-01,NSI,EQUITY,502800000.0,2.96,-562800000.0,773299968.0,837277.0,837277.0,3935037440.0,20.22,42.59,0.53479713,23.1976,,,7358000128.0,27.58,43.484,,-0.145,0.08765,-0.07649,0.00287,-0.09693,23.77,23.54,22.81,23.78,23.77,,,3IINFOLTD.NS,3I INFOTECH LIMITED,3i Infotech Limited,Information Technology Services,Technology,23.13,,,,,,none,,-2.69,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),10.0,9.0
165424,2025-04-30 16:16:20,3MINDIA.NS,1033.0,,,,,,86400.0,2.0,29880.0,29620.0,30470.0,160.0,0.53,1990-01-01,0.3121,,0.2,4938.0,4938.0,6244.0,,,,,32069.951,0.0,0.0,333101629440.0,2649546.0,11265100.0,0.7648,0.09493,11267900.0,1478.508,20.365124,-0.159,513.6,,-0.014214873,160.0,1990-01-01,NSI,EQUITY,6273184768.0,556.87,7523660288.0,1028296000.0,5643.0,5643.0,339192152064.0,25718.15,40856.5,7.812122,28148.957,,,43418697728.0,6.174,3854.264,-0.159,0.084,0.39878,0.17327999,0.12851,0.13302,30035.0,29880.0,29620.0,30470.0,30035.0,58.625393,50.554066,3MINDIA.NS,3M INDIA LIMITED,3M India Limited,Conglomerates,Industrials,30110.0,33500.0,33500.0,33500.0,33500.0,,none,1.0,0.25,2.2,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),,,Hold,No strong momentum,15.0,11.0
165425,2025-04-30 16:16:20,3PLAND.NS,,,,,,,86400.0,2.0,44.33,41.11,44.44,,,1990-01-01,,,,3337.0,3337.0,8016.0,,,,,45.86605,,,,,,,,,,,,,,,,1990-01-01,NSI,EQUITY,,,,,8880.0,8880.0,,27.8,82.06,,41.2666,,,,,,,,,,,,43.06,44.33,41.11,44.44,43.06,,,3PLAND.NS,3P LAND HOLDINGS LIMITED,3P Land Holdings Ltd,Unknown,Unknown,,,,,,,,,,2.6,Hold,Hold,High Beta (more volatile),,,,,1.0,1.0
165426,2025-04-30 16:16:20,5PAISA.NS,548.0,,,,,,86400.0,2.0,381.5,370.0,381.5,,,1990-01-01,0.0,,0.926,23977.0,23977.0,39589.0,,,,,453.37476,0.0,0.0,-2466957824.0,12186766.0,31233300.0,0.57365,0.21043,33010600.0,184.582,2.012385,0.072,19.5,15.5,-0.29045254,,1990-01-01,NSI,EQUITY,15979458560.0,511.662,,1687072000.0,44307.0,44307.0,11601609728.0,311.65,607.05,3.079209,360.978,,,3767724032.0,29.297,120.768,0.06,-0.135,0.99964,0.0,0.26969,0.16971001,378.65,381.5,370.0,381.5,378.65,19.04872,23.964518,5PAISA.NS,5PAISA CAPITAL LIMITED,5paisa Capital Limited,Capital Markets,Financial Services,371.45,,,,,,none,,-1.9,2.5,Buy,Hold,Low Beta (less volatile than the market),,,Hold,Trading near its 52-week low (bearish momentum),11.0,9.0
165427,2025-04-30 16:16:20,63MOONS.NS,863.0,,,,,,86400.0,2.0,673.95,641.0,673.95,2.0,0.3,1990-01-01,0.1258,5.9,0.736,105762.0,105762.0,178928.0,,,,,622.85,0.0,0.0,13919304704.0,16563913.0,46078500.0,0.58,0.00341,46089000.0,719.827,0.8959097,,-7.82,,0.5280212,2.0,1990-01-01,NSI,EQUITY,16456930304.0,357.178,-2434701568.0,68113000.0,133423.0,133423.0,29722798080.0,314.65,1078.8,20.338953,731.022,,,1461373056.0,0.207,31.701,,-0.927,-0.32546002,-1.6660401,-5.84348,-0.24733,662.55,673.95,641.0,673.95,662.55,,,63MOONS.NS,63 MOONS TECHNOLOGIES LTD,63 moons technologies limited,Software - Application,Technology,644.9,,,,,,none,,-2.66,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,No strong momentum,3.0,1.0
165428,2025-04-30 16:16:20,A2ZINFRA.NS,5723.0,,,,,,86400.0,2.0,13.5,13.42,14.08,,,1990-01-01,0.0,,0.291,120199.0,120199.0,268199.0,,,,,18.31335,0.0,0.0,2975241216.0,98361992.0,176120000.0,0.36991,0.0,176764992.0,2.164,6.4417744,,0.21,,-0.07525426,2.0,1990-01-01,NSI,EQUITY,46827000.0,0.302,-399282496.0,1068750976.0,224893.0,224893.0,2464103936.0,12.35,26.8,0.7171764,15.6604,,,3435841024.0,492.192,19.68,,-0.105,0.0756,-0.116210006,-0.047220003,0.01091,13.64,13.5,13.42,14.08,13.64,66.38095,,A2ZINFRA.NS,A2Z INFRA ENGINEERING LTD,A2Z Infra Engineering Limited,Engineering & Construction,Industrials,13.94,,,,,,none,,2.2,1.0,Strong Buy,Hold,Low Beta (less volatile than the market),,,Hold,Trading near its 52-week low (bearish momentum),23.0,17.0
165429,2025-04-30 16:16:20,AAATECH.NS,97.0,,,,,,86400.0,2.0,77.99,76.01,77.99,0.5,0.66,1990-01-01,0.2446,,0.188,6819.0,6819.0,34853.0,,,,,105.92575,0.0,0.0,759316864.0,2947452.0,12826800.0,0.72819,0.0,12960000.0,22.912,3.36243,-0.621,2.05,,-0.42775482,0.5,1990-01-01,NSI,EQUITY,219992000.0,17.091,36317500.0,0.0,39539.0,39539.0,988176704.0,66.0,160.85,4.0697527,78.1206,,,242810000.0,,19.072,-0.623,0.259,0.6518,0.14957,0.043649998,0.10802,76.08,77.99,76.01,77.99,76.08,37.58049,,AAATECH.NS,AAA TECHNOLOGIES LIMITED,AAA Technologies Limited,Information Technology Services,Technology,77.04,,,,,,none,,1.26,2.6,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),10.0,9.0
