row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
425628,2026-08-03 21:15:30,1STCUS.BO,,,,,,,86400.0,2.0,66.58,62.0,66.58,1.0,1.5,1990-01-01,0.3704,,-0.163,72.0,72.0,184.0,-0.01736,-0.01777,,-1233063.0,78.53705,0.0,0.0,72180896.0,556774.0,1500000.0,0.61355,0.0,1500000.0,101.591,0.6550777,,-1.81,,-0.34241974,1.0,1990-01-01,BSE,EQUITY,27044792.0,18.22,,395996.0,148.0,148.0,99825008.0,60.26,107.0,21.532574,70.0062,45.745,55.613,4636000.0,0.263,3.088,,-0.553,1.0,0.0,-0.27583998,-0.58607,66.58,66.58,62.0,66.58,66.58,,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (I) Ltd.,Capital Markets,Financial Services,66.55,,,,,,none,,-0.05,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),3.0,3.0
425629,2026-08-03 21:15:30,20MICRONS.BO,411.0,,,,,,86400.0,2.0,191.5,191.5,200.0,1.25,0.73,1990-01-01,0.0684,,0.369,18405.0,18405.0,32740.0,,,,,216.672,0.0,0.0,7029148160.0,14445335.0,35286502.0,0.54675996,0.00016000001,35286503.0,128.709,1.5243689,0.16,18.27,,-0.106589675,1.25,1990-01-01,BSE,EQUITY,583459968.0,16.541,1173447936.0,1633657984.0,6732.0,6732.0,6923211776.0,158.0,284.1,0.7523475,191.44,,,9202146304.0,35.637,260.903,0.162,0.001,0.47129002,0.12752,0.10623,0.07001,192.85,191.5,191.5,200.0,192.85,10.738915,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,196.2,,,,,,none,,1.74,3.7,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,7.0,1.0
425630,2026-08-03 21:15:30,21STCENMGM.BO,8.0,,,,,,86400.0,2.0,40.26,40.05,41.06,,,1990-01-01,0.0,,0.504,1182.0,1182.0,1443.0,-0.30996,-0.57208,13173875.0,-23686000.0,38.41605,0.0,0.0,387273984.0,2896425.0,10500000.0,0.73423,0.0,10500000.0,31.483,1.304196,,-22.9,,-0.31762713,2.5,1990-01-01,BSE,EQUITY,35456000.0,3.377,-239438000.0,0.0,3011.0,3011.0,431130016.0,28.62,59.15,-2.5550716,34.1832,1.523,2.928,-168735008.0,,-16.07,,,0.0,0.0,1.32882,0.0,40.26,40.26,40.05,41.06,40.26,,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,41.06,,,,,,none,,1.99,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,12.0,11.0
425631,2026-08-03 21:15:30,360ONE.BO,,,,,,,86400.0,2.0,1137.05,1137.0,1158.3,18.0,1.58,1990-01-01,0.3989,2.53,0.394,26513.0,26513.0,264735.0,,,,,1103.7533,12.0,0.010567102,606182178816.0,266786090.0,406889174.0,0.16768,0.64442,406889174.0,242.533,4.6880217,0.161,30.13,40.95851,0.08208418,6.0,1990-01-01,BSE,EQUITY,14815899648.0,36.442,30186725376.0,159313100800.0,156890.0,156890.0,462633009152.0,906.2,1235.65,9.698113,1106.024,,,47703400448.0,161.977,117.646,0.128,0.299,0.72869,0.6328,0.6107,0.26455998,1135.6,1137.05,1137.0,1158.3,1135.6,37.736477,27.759798,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1137.0,1521.0,1200.0,1310.1,1300.0,1.2,strong_buy,10.0,0.12,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,10.0,5.0
425632,2026-08-03 21:15:30,3IINFOLTD.BO,,,,,,,86400.0,2.0,23.43,23.43,25.02,,,1990-01-01,0.0,3.81,-0.175,193621.0,193621.0,63160.0,,,,,16.62245,0.0,0.0,4638196736.0,188373599.0,212610630.0,0.13338,0.0022200001,212610630.0,17.827,1.3670276,-0.152,1.79,,0.0012892485,14.210196,1990-01-01,BSE,EQUITY,776000000.0,3.724,-47850000.0,615699968.0,217367.0,217367.0,5181321216.0,12.61,26.23,0.7393966,18.1608,,,7007499776.0,16.298,34.765,-0.295,0.043,0.08748,-0.0068300003,0.00298,0.04895,23.19,23.43,23.43,25.02,23.19,13.614526,,3IINFOLTD.BO,3I INFOTECH LTD.,,Information Technology Services,Technology,24.37,,,,,,none,,5.09,2.2,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Buy,Trading near its 52-week high (bullish momentum),15.0,12.0
425633,2026-08-03 21:15:30,3MINDIA.BO,,,,,,,86400.0,2.0,35745.0,35474.8,36560.0,160.0,0.46,1990-01-01,0.3451,,0.27,234.0,234.0,291.0,0.18757,0.289,4592943104.0,5137200128.0,33712.0,160.0,0.0046363235,384078118912.0,2661810.0,11265070.0,0.7648,0.09495,11265070.0,1562.354,22.991941,2.031,463.47,753.4,0.13035893,506.0,1990-01-01,BSE,EQUITY,8177800192.0,722.598,9857599488.0,1697500032.0,247.0,247.0,404658782208.0,28747.3,38300.0,7.950449,33813.87,1.422,2.182,50897600512.0,9.6,4518.146,2.018,0.168,0.42368,0.19368,0.17216998,0.10262,34510.1,35745.0,35474.8,36560.0,34510.1,77.50567,47.679253,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,35921.55,36726.0,36726.0,36726.0,36726.0,,none,1.0,4.09,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Buy,Trading near its 52-week high (bullish momentum),17.0,10.0
425634,2026-08-03 21:15:30,3PLAND.BO,1.0,,,,,,86400.0,2.0,31.0,31.0,32.87,,,1990-01-01,0.0,,-0.202,1809.0,1809.0,383.0,,,,,34.8743,0.0,0.0,576729024.0,3708360.0,18000000.0,0.80564004,0.0,18000000.0,58.143,0.5486473,0.243,1.26,,-0.30002177,0.2,1990-01-01,BSE,EQUITY,1971000.0,0.11,31175000.0,0.0,298.0,298.0,574200000.0,26.41,54.0,11.928206,31.936,,,48138000.0,,2.672,0.238,0.154,0.99853,0.64762,0.59048,0.47117,32.15,31.0,31.0,32.87,32.15,25.317461,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,31.9,,,,,,none,,-0.78,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),16.0,9.0
425635,2026-08-03 21:15:30,5PAISA.BO,,,,,,,86400.0,2.0,353.0,351.75,355.95,,,1990-01-01,0.0,,0.533,2424.0,2424.0,4061.0,,,,,327.80426,0.0,0.0,5140379648.0,24585420.0,46879257.0,0.71242,0.123500004,46879257.0,207.533,1.6968385,0.002,13.06,,-0.07308304,,1990-01-01,BSE,EQUITY,14177139712.0,318.604,,3785600000.0,3423.0,3423.0,16508529664.0,245.0,405.8,5.5622163,347.379,,,2967976960.0,58.31,85.854,-0.293,0.134,1.0,0.0,0.19328,0.14894,349.05,353.0,351.75,355.95,349.05,26.96401,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,352.15,,,,,,none,,0.89,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,16.0,14.0
425636,2026-08-03 21:15:30,63MOONS.BO,,,,,,,86400.0,2.0,948.95,887.8,957.7,1.2,0.13,1990-01-01,0.3854,5.9,0.688,223525.0,223525.0,43875.0,-0.05193,-0.0152,-2795436032.0,-2929723904.0,680.30225,2.0,0.002148343,24389971968.0,21352435.0,46078537.0,0.58128,0.00483,46078537.0,770.436,1.1658983,1.046,-4.84,,-0.066248775,1.2,1990-01-01,BSE,EQUITY,19559452672.0,424.268,-2816858880.0,54222000.0,201939.0,201939.0,41390043136.0,465.55,1028.7,19.561113,682.61,9.925,11.277,2115934976.0,0.149,45.934,1.043,5.195,0.030989999,-1.3312601,-0.63594,-0.10602,930.95,948.95,887.8,957.7,930.95,,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,898.25,,,,,,none,,-3.51,4.1,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Buy,Trading near its 52-week high (bullish momentum),2.0,1.0
425637,2026-08-03 21:15:30,7NR.BO,,,,,,,86400.0,2.0,5.9,5.9,5.92,,,1990-01-01,0.0,,0.546,9291.0,9291.0,154951.0,-0.01454,0.00513,-6955000.0,-18183000.0,4.57995,0.0,0.0,211126016.0,22858590.0,28006800.0,0.15712,0.0,28006800.0,10.42,0.5671785,,0.05,,0.16210938,0.037128,1990-01-01,BSE,EQUITY,9406000.0,0.336,-7981000.0,47450000.0,117317.0,117317.0,165520176.0,2.75,6.88,1.3094743,5.8012,1.408,5.965,126402000.0,16.259,4.513,,,0.13493,-0.063140005,3.2842498,0.01181,5.95,5.9,5.9,5.92,5.95,118.2,,7NR.BO,7NR Retail Limited,JPY/KMF,Apparel Retail,Consumer Cyclical,5.91,,,,,,none,,-0.67,1.0,Strong Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Buy,Trading near its 52-week high (bullish momentum),29.0,7.0
