row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
111353,2026-03-02 19:24:17,1STCUS.BO,6.0,,,,,,86400.0,2.0,82.3,81.0,82.3,1.0,1.14,1758153600.0,0.3704,,-0.458,239.0,239.0,329.0,,,,,94.3815,0.0,0.0,100470232.0,552910.0,1500000.0,0.61355,0.0,1500000.0,103.096,0.78567547,,-1.55,,-0.39418083,1.0,1758153600.0,BSE,EQUITY,28920190.0,19.619,,482648.0,332.0,332.0,121500000.0,65.0,157.5,19.397326,80.3004,,,6263750.0,0.315,4.167,,-0.865,0.68641,0.0,-0.29438,-0.37103,87.45,82.3,81.0,82.3,87.45,,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (I) Ltd.,Capital Markets,Financial Services,81.0,,,,,,none,,-7.38,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),5,4
111354,2026-03-02 19:24:17,20MICRONS.BO,411.0,,,,,,86400.0,2.0,161.9,161.9,171.45,1.25,0.73,1753315200.0,0.0684,,0.369,6155.0,6155.0,32740.0,,,,,216.672,0.0,0.0,7029148160.0,14445335.0,35286502.0,0.54675996,0.00016000001,35286503.0,128.709,1.3219743,0.16,18.27,,-0.106589675,1.25,1753315200.0,BSE,EQUITY,583459968.0,16.541,1173447936.0,1633657984.0,6732.0,6732.0,6003998208.0,158.0,284.1,0.6524563,191.44,,,9202146304.0,35.637,260.903,0.162,0.001,0.47129002,0.12752,0.10623,0.07001,174.0,161.9,161.9,171.45,174.0,9.313081,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,170.15,,,,,,none,,-2.21,4.1,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),4,1
111355,2026-03-02 19:24:17,21STCENMGM.BO,10.0,,,,,,86400.0,2.0,35.33,35.33,35.33,,,1721952000.0,0.0,,0.469,1180.0,1180.0,1466.0,,,,,54.2101,0.0,0.0,373639232.0,2994329.0,10500000.0,0.72415,0.0,10500000.0,45.206,0.7815334,,-21.38,,-0.4822634,2.5,1721952000.0,BSE,EQUITY,4825000.0,0.46,-200763744.0,0.0,273.0,273.0,370965024.0,35.33,81.45,-2.5117307,43.5858,,,-147692992.0,,-14.069,,,0.0,0.0,1.66225,0.0,36.05,35.33,35.33,35.33,36.05,,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,35.33,,,,,,none,,-2.0,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),15,14
111356,2026-03-02 19:24:17,360ONE.BO,1207.0,,,,,,86400.0,2.0,1007.8,1007.8,1094.3,12.0,1.09,1761523200.0,0.42110002,2.91,0.263,977237.0,977237.0,44988.0,,,,,1110.9158,12.0,0.01088238,571500462080.0,259397753.0,405531961.0,0.17473,0.68636,405531962.0,231.141,4.659926,0.184,28.45,35.7386,0.12785113,6.0,1761523200.0,BSE,EQUITY,12794300416.0,31.587,26159175680.0,137646702592.0,27413.0,27413.0,436798488576.0,766.05,1272.95,10.328427,1145.757,,,42290900992.0,147.235,105.875,0.124,0.306,0.72015,0.61855,0.59264,0.27832,1102.7,1007.8,1007.8,1094.3,1102.7,37.8594,30.138279,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1077.1,1700.0,1300.0,1396.7273,1380.0,,none,11.0,-2.32,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,13,8
111357,2026-03-02 19:24:17,3IINFOLTD.BO,4552.0,,,,,,86400.0,2.0,13.36,13.34,13.95,,,1309996800.0,0.0,3.81,-0.555,34673.0,34673.0,34646.0,,,,,20.3784,0.0,0.0,2576800000.0,175674545.0,207396267.0,0.11883,0.0021,207396267.0,18.252,0.7451238,-0.947,3.94,,-0.39234447,1.5,1309996800.0,BSE,EQUITY,455400000.0,2.341,-237624992.0,347900000.0,35139.0,35139.0,2820589312.0,13.34,27.43,0.40032208,15.4736,,,7045799936.0,10.763,11.765,-0.954,-0.051,0.09718,-0.03373,-0.0287,0.07819,13.97,13.36,13.34,13.95,13.97,3.4517767,,3IINFOLTD.BO,3I INFOTECH LTD.,,Information Technology Services,Technology,13.6,,,,,,none,,-2.65,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),10,9
111358,2026-03-02 19:24:17,3MINDIA.BO,1213.0,,,,,,86400.0,2.0,34300.05,34300.05,37000.0,160.0,0.43,1753401600.0,0.4764,,-0.057,341.0,341.0,191.0,,,,,32097.775,0.0,0.0,417597521920.0,2649315.0,11265070.0,0.7648,0.096219994,11265071.0,1429.572,25.038263,,334.03,659.9,0.42926967,535.0,1753401600.0,BSE,EQUITY,6194625024.0,549.944,9462075392.0,1033188992.0,197.0,197.0,403221938176.0,25714.35,38300.0,8.247958,35322.54,,,48887488512.0,6.416,4339.756,,0.127,0.42343,0.19354999,0.17493999,0.07739,37531.55,34300.05,34300.05,37000.0,37531.55,107.15804,54.24155,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,35794.0,39250.0,39250.0,39250.0,39250.0,,none,1.0,-4.63,2.2,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Buy,Trading near its 52-week high (bullish momentum),20,12
111359,2026-03-02 19:24:17,3PLAND.BO,1.0,,,,,,86400.0,2.0,26.41,26.41,34.0,,,1282089600.0,0.0,,-0.623,29326.0,29326.0,638.0,,,,,43.1315,0.0,0.0,598000000.0,3745818.0,18000000.0,0.80564004,0.0,18000000.0,93.033,0.33665475,0.039,1.19,,-0.18175054,0.2,1282089600.0,BSE,EQUITY,2000000.0,0.11,28110500.0,0.0,520.0,520.0,563760000.0,26.41,58.69,12.290654,35.7576,,,45869000.0,,2.564,0.048,0.041,1.0,0.61284,0.54639,0.46441,33.0,26.41,26.41,34.0,33.0,26.319326,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,31.32,,,,,,none,,-5.09,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),15,11
111360,2026-03-02 19:24:17,5PAISA.BO,539.0,,,,,,86400.0,2.0,313.3,304.1,313.9,,,,0.0,,0.231,1859.0,1859.0,14533.0,,,,,358.2875,0.0,0.0,10291318.0,10262986.0,31251838.0,0.64777,0.115880005,31251839.0,200.815,1.5265293,-0.24,13.89,,-0.036812603,,,BSE,EQUITY,12819201024.0,410.645,,2905526016.0,3499.0,3499.0,9580251136.0,287.95,431.8,3.3883584,342.288,,,2827401984.0,46.389,90.503,-0.237,-0.11,0.99967,0.0,0.23244,0.15349,317.9,313.3,304.1,313.9,317.9,22.069834,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,306.55,,,,,,none,,-3.57,1.8,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),23,19
111361,2026-03-02 19:24:17,63MOONS.BO,378.0,,,,,,86400.0,2.0,589.5,579.0,605.2,1.2,0.2,1758067200.0,0.3854,5.9,0.372,8928.0,8928.0,14563.0,,,,,833.318,0.0,0.0,6438641664.0,18064869.0,46078537.0,0.58002,0.0050999997,46078537.0,757.762,0.789166,,-6.99,,-0.08945978,1.2,1758067200.0,BSE,EQUITY,22212327424.0,482.564,-2638206720.0,52994000.0,40814.0,40814.0,27554965504.0,541.5,1130.0,27.710728,669.651,,,994379008.0,0.148,21.587,,1.281,-0.58775,-2.65312,-2.67391,-0.34127998,602.55,589.5,579.0,605.2,602.55,,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,598.0,,,,,,none,,-0.76,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),2,2
111362,2026-03-02 19:24:17,7NR.BO,,,,,,,86400.0,4.0,3.49,3.01,3.68,,,1568851200.0,0.0,,-0.473,82809.0,82809.0,25078.0,,,,,5.04075,0.0,0.0,138487808.0,20919308.0,28006800.0,0.21891001,0.0,28006800.0,10.524,0.33162296,-0.004,0.63,,-0.07106596,,,BSE,EQUITY,9597000.0,0.346,15302250.0,46594000.0,19401.0,19401.0,97743736.0,3.01,8.33,0.3495592,3.8512,,,279620000.0,15.849,9.987,0.0,4.421,0.08991,0.05473,0.00103,0.06324,3.66,3.49,3.01,3.68,3.66,5.5396824,,7NR.BO,7NR Retail Limited,JPY/KMF,Apparel Retail,Consumer Cyclical,3.49,,,,,,none,,-4.64,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),15,3
