row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson,sector_rank,industry_rank
628665,2025-11-03 18:48:07,1STCUS.BO,6.0,,,,,,86400.0,2.0,89.44,76.1,89.44,1.0,1.12,1758153600.0,0.1718,,-0.354,14.0,14.0,623.0,,,,,116.05135,0.0,0.0,108009440.0,561814.0,1500000.0,0.62872005,0.0,1509825.0,109.423,0.7958108,,5.82,,-0.43386078,1.0,1758153600.0,BSE,EQUITY,26680606.0,17.813,,710945.0,185.0,185.0,130620000.0,75.35,172.05,6.354658,90.5858,,,20555000.0,0.459,13.715,,,1.0,0.0,8.921741,0.42431998,89.45,89.44,76.1,89.44,89.45,14.962199,,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (I) Ltd.,Capital Markets,Financial Services,87.08,,,,,,none,,-2.65,3.4,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),6,6
628666,2025-11-03 18:48:07,20MICRONS.BO,411.0,,,,,,86400.0,2.0,204.0,204.0,220.3,1.25,0.6,1753315200.0,0.0718,,0.621,11664.0,11664.0,11396.0,,,,,217.6385,0.0,0.0,8677669888.0,14396187.0,35286502.0,0.55704,0.00016000001,35286502.0,121.679,1.7891337,-0.056,17.41,,-0.21387833,1.25,1753315200.0,BSE,EQUITY,312982016.0,8.87,1158744064.0,1648262016.0,4521.0,4521.0,7681871872.0,158.0,284.1,0.8265055,221.365,,,9294399488.0,37.974,263.448,-0.055,0.072,0.47068,0.12467,0.10824,0.06603,206.75,204.0,204.0,220.3,206.75,12.504308,,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,217.7,,,,,,none,,5.3,3.4,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,No strong momentum,7,2
628667,2025-11-03 18:48:07,21STCENMGM.BO,10.0,,,,,,86400.0,2.0,47.0,46.21,47.75,2.5,4.18,1721952000.0,0.21280001,,0.521,4281.0,4281.0,1225.0,,,,,64.4952,0.0,0.0,485868992.0,2994810.0,10500000.0,0.6443,0.0,10714056.0,48.584,0.96225095,-0.905,-9.33,,-0.59289736,2.5,1721952000.0,BSE,EQUITY,7631000.0,0.727,-51900248.0,0.0,1705.0,1705.0,490875008.0,45.11,120.85,6.4208636,51.278,,,76450000.0,,7.277,-0.906,-0.969,-0.31516,-0.67888,0.69624,-1.28099,47.0,47.0,46.21,47.75,47.0,,,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,46.75,,,,,,none,,-0.53,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),3,3
628668,2025-11-03 18:48:07,360ONE.BO,1207.0,,,,,,86400.0,2.0,1082.25,1082.25,1105.15,12.0,1.11,1761523200.0,0.21700001,3.19,0.343,8779.0,8779.0,30931.0,0.07476,0.16991,-21868011520.0,-26675300352.0,1046.9425,12.0,0.011096726,562237079552.0,257844230.0,404970337.0,0.1749,0.6234,404970337.0,231.141,4.7300134,0.285,27.68,,0.043721676,6.0,1761523200.0,BSE,EQUITY,12794300416.0,31.633,25011400704.0,137646702592.0,16680.0,16680.0,442754072576.0,766.05,1317.25,11.227611,1083.469,0.643,3.157,39434399744.0,147.235,100.2,0.168,0.244,0.72323,0.63425,0.60828996,0.28559,1081.4,1082.25,1082.25,1105.15,1081.4,39.497833,30.439093,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1093.3,1615.0,1150.0,1345.4546,1350.0,1.45455,strong_buy,11.0,1.1,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum,11,7
628669,2025-11-03 18:48:07,3IINFOLTD.BO,4552.0,,,,,,86400.0,2.0,17.61,17.46,17.74,,,1309996800.0,0.0,3.81,0.141,49082.0,49082.0,88807.0,,,,,23.95195,0.0,0.0,3008806656.0,149101386.0,169686742.0,0.118669994,0.0029499999,169686742.0,18.139,0.9658747,,2.32,,-0.36564195,1.5,1309996800.0,BSE,EQUITY,596499968.0,3.523,311275008.0,635100032.0,194048.0,194048.0,2972911616.0,16.98,35.0,0.41488665,21.9024,,,7165599744.0,20.695,42.418,,-0.051,0.102060005,0.04344,-0.01911,0.058319997,17.54,17.61,17.46,17.74,17.54,7.5517244,,3IINFOLTD.BO,3I INFOTECH LTD.,,Information Technology Services,Technology,17.52,,,,,,none,,-0.11,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,,,Hold,Trading near its 52-week low (bearish momentum),9,9
628670,2025-11-03 18:48:07,3MINDIA.BO,1213.0,,,,,,86400.0,2.0,29550.0,29500.0,30973.25,160.0,0.54,1753401600.0,0.0,,0.067,503.0,503.0,172.0,,,,,29363.922,0.0,0.0,324423090176.0,2649544.0,11265070.0,0.7648,0.09589,11407205.0,1639.135,18.718103,0.131,440.13,680.5,-0.18168885,535.0,1753401600.0,BSE,EQUITY,9327792128.0,828.028,7994844672.0,995353024.0,79.0,79.0,345629229056.0,25714.35,36347.95,7.52193,29966.93,,,45949538304.0,5.39,4078.937,0.131,0.143,0.40228,0.17399,0.18944,0.10808,29538.7,29550.0,29500.0,30973.25,29538.7,69.71008,45.0867,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,30681.5,35610.0,35610.0,35610.0,35610.0,,none,1.0,3.87,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,13,9
628671,2025-11-03 18:48:07,3PLAND.BO,1.0,,,,,,86400.0,2.0,42.05,42.05,42.05,,,1282089600.0,0.0,,-0.308,200.0,200.0,2360.0,,,,5711000.0,46.24625,0.0,0.0,778300032.0,3679200.0,18000000.0,0.80727,0.0,18179291.0,93.033,0.45199016,0.042,1.16,,0.037329555,0.2,1282089600.0,BSE,EQUITY,2000000.0,0.111,28478000.0,0.0,442.0,442.0,756899968.0,36.65,81.92,16.609976,44.8148,0.909,97.364,45569000.0,,2.537,0.038,0.023,1.0,0.62494,0.74719,0.46527,43.35,42.05,42.05,42.05,43.35,36.25,,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,42.05,,,,,,none,,-3.0,1.7,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum),20,18
628672,2025-11-03 18:48:07,5PAISA.BO,539.0,,,,,,86400.0,2.0,315.0,311.25,315.6,,,,0.0,,0.175,3060.0,3060.0,23800.0,0.02546,0.07865,,-1264254976.0,375.5305,0.0,0.0,-184016272.0,12212679.0,31239338.0,0.57308,0.21075001,31469665.0,200.815,1.5514278,-0.567,15.13,,-0.383498,,,BSE,EQUITY,12819201024.0,411.006,,2905526016.0,2891.0,2891.0,9732615168.0,310.5,525.5,3.3386512,347.317,6.932,6.992,2915133952.0,46.389,93.304,-0.565,-0.269,0.99968004,0.0,0.18379,0.16217,311.95,315.0,311.25,315.6,311.95,20.59154,,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,311.55,,,,,,none,,-0.13,1.8,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,,,Hold,Trading near its 52-week low (bearish momentum),20,19
628673,2025-11-03 18:48:07,63MOONS.BO,378.0,,,,,,86400.0,2.0,794.7,788.0,803.95,1.2,0.15,1758067200.0,0.3854,5.9,,4387.0,4387.0,9611.0,-0.04048,-0.01773,-996313024.0,-1651331968.0,842.45776,0.0,0.0,15228790784.0,18032188.0,46078537.0,0.57987,0.00494,46078537.0,760.69,1.0402398,,5.17,,0.36777854,1.2,1758067200.0,BSE,EQUITY,22212327424.0,483.611,-2318275072.0,40963000.0,6069.0,6069.0,36461944832.0,550.45,1130.0,31.680943,879.463,8.641,9.924,1150910976.0,0.114,28.129,,0.925,-0.24969,-2.0142999,-0.55841,-0.26821,795.5,794.7,788.0,803.95,795.5,153.05609,,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,791.3,,,,,,none,,-0.53,2.2,Buy,Buy,High Beta (more volatile)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,Hold,Strong Revenue Growth (>10%),Hold,No strong momentum,11,10
628674,2025-11-03 18:48:07,7NR.BO,,,,,,,86400.0,4.0,4.33,4.13,4.33,,,1568851200.0,0.0,,-0.133,59890.0,59890.0,73409.0,,,,,5.2215,0.0,0.0,158611248.0,21843405.0,28006800.0,0.21274,0.0,28592989.0,10.376,0.40670776,,0.26,,-0.14371258,,,BSE,EQUITY,11274000.0,0.397,16089500.0,48142000.0,40571.0,40571.0,118188688.0,3.8,8.33,0.5282176,4.6502,,,223750000.0,16.581,7.96,,0.224,0.07356,0.07191,-0.04092,0.03259,4.29,4.33,4.13,4.33,4.29,16.230768,,7NR.BO,7NR Retail Limited,JPY/KMF,Apparel Retail,Consumer Cyclical,4.22,,,,,,none,,-1.63,2.2,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum),14,6
